Obs Day,Obs Date,Video Name,,Interaction_by_date,Interaction,Aggressor,Receiver,time_sec,Time (side video min:sec),interaction type,,(Video) time started observing,(Video) time stopped observing,,NOTES!!!
1,10/22/2018,GOPR0113,,1,1,DBWT,WTDB,165,2:45,BILL FENCING,,ALL DONE,,,
1,,,,2,2,DBDB,DBLB,166,2:46,PECK,,,,,
1,,,,3,3,DBDB,DBLB,201,3:21,DISPLACEMENT,,,,,
1,,,,4,4,DBDB,WTDB,202,3:22,DISPLACEMENT,,,,,
1,,,,5,5,DBDB,WTDB,210,3:30,DISPLACEMENT,,,,,
1,,,,6,6,DBDB,WTLG,213,3:33,DISPLACEMENT,,,,,
1,,,,7,7,DBDB,DBWT,214,3:34,DISPLACEMENT,,,,,
1,,,,8,8,DBDB,WTDB,224,3:44,DISPLACEMENT,,,,,
1,,,,9,9,DBDB,DBLG,225,3:45,DISPLACEMENT,,,,,
1,,,,10,10,DBDB,DBLB,229,3:49,PECK,,,,,
1,,,,11,11,DBDB,WTLG,255,4:15,BILL FENCING,,,,,
1,,,,12,12,DBDB,DBLB,264,4:24,DISPLACEMENT,,,,,There was also a peck here
1,,,,13,13,WTDB,DBLB,266,4:26,BILL FENCING,,,,,
1,,,,14,14,DBDB,DBWT,284,4:44,DISPLACEMENT,,,,,
1,,,,15,15,DBDB,DBLG,288,4:48,DISPLACEMENT,,,,,
1,,,,16,16,DBDB,WTDB,289,4:49,DISPLACEMENT,,,,, 
1,,,,17,17,DBDB,DBLB,290,4:50,BILL FENCING,,,,,
1,,,,18,18,DBDB,WTDB,291,4:51,DISPLACEMENT,,,,,
1,,,,19,19,DBDB,DBLG,293,4:53,DISPLACEMENT,,,,,
1,,,,20,20,DBLB,DBDB,295,4:55,BILL FENCING,,,,,"DBLB ""won,"" but DBDB started it"
1,,,,21,21,DBDB,DBWT,310,5:10,DISPLACEMENT,,,,,
1,,,,22,22,DBDB,DBLG,332,5:32,DISPLACEMENT,,,,,
1,,,,23,23,DBDB,WTDB,342,5:42,DISPLACEMENT,,,,,
1,,,,24,24,DBDB,WTDB,366,6:06,DISPLACEMENT,,,,,
